Mandatory for:,Metric Designer,Metric Title,Question,About,Methodology,Topics,Value Type,Research Policy,Metric Type,Report Type
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from staff commuting by car (tonnes CO2e),What is the total scope 3 carbon emissions from staff commuting by car?,"This field contains data about scope 3 carbon emissions from staff commuting by car. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (academic and support staff) travel greenhouse gas emissions (tonnes) from car.",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from staff commuting by taxi (tonnes CO2e),What is the total scope 3 carbon emissions from staff commuting by taxi?,"This field contains data about scope 3 carbon emissions from staff commuting by taxi. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (academic and support staff) travel greenhouse gas emissions (tonnes) from taxi.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from staff commuting by motorcycle or moped (tonnes CO2e),What is the total scope 3 carbon emissions from staff commuting by motorcycle or moped?,"This field contains data about scope 3 carbon emissions from staff commuting by motorcycle or moped. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (academic and support staff) travel greenhouse gas emissions (tonnes) from motorcycle or moped.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from staff commuting by ferry (tonnes CO2e),What is the total scope 3 carbon emissions from staff commuting by ferry?,"This field contains data about scope 3 carbon emissions from staff commuting by ferry. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ",Total scope 3 commuter (academic and support staff) travel greenhouse gas emissions (tonnes) from ferry.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by air (tonnes CO2e),"What is the total scope 3 carbon emissions from students commuting by air (domestic, short-haul and international)?","This field contains data about scope 3 carbon emissions from students commuting by air (domestic, short-haul and international). The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from air travel (domestic, short haul and international).",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by rail (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by rail travel (domestic and international)?,"This field contains data about scope 3 carbon emissions from students commuting by rail (domestic and international). The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from rail travel (domestic and international).
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by trams (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by trams?,"This field contains data about scope 3 carbon emissions of an higher education provider's (HEP's) students commuting by trams. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from trams.",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by underground (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by underground?,"This field contains data about scope 3 carbon emissions from students commuting by underground. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from underground.",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by public bus (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by public bus?,"This field contains data about scope 3 carbon emissions from students commuting by public bus. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from public bus.",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by coach (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by coach?,"This field contains data about scope 3 carbon emissions from students commuting by coach. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ",Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from coach.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by car (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by car?,"This field contains data about scope 3 carbon emissions from students commuting by car. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ",Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from car.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by taxi (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by taxi?,"This field contains data about scope 3 carbon emissions from students commuting by taxi. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from taxi.",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by motorcycle or moped (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by motorcycle or moped?,"This field contains data about scope 3 carbon emissions from students commuting by motorcycle or moped. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ","Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from motorcycle or moped.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from students commuting by ferry (tonnes CO2e),What is the total scope 3 carbon emissions from students commuting by ferry?,"This field contains data about scope 3 carbon emissions from students commuting by ferry. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking. ",Total scope 3 commuter (student) travel greenhouse gas emissions (tonnes) from ferry.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential scope 3 carbon emissions from waste (tonnes CO2e),What is the total non-residential scope 3 carbon emissions from waste?,"This field contains data about non-residential scope 3 carbon emissions from waste. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.  ",This figure is for the scope 3 greenhouse gas emissions (tonnes) from waste for the non-residential estate only.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential scope 3 carbon emissions from waste (tonnes CO2e),What is the total residential scope 3 carbon emissions from waste?,"This field contains data about residential scope 3 carbon emissions from waste. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ","This figure is for the scope 3 greenhouse gas emissions (tonnes) from waste for the residential estate only.",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total scope 3 carbon emissions from waste (tonnes CO2e),What is the total scope 3 carbon emissions from waste?,"This field contains data about total scope 3 carbon emissions from waste. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ","Total scope 3 greenhouse gas emissions (tonnes) from waste for the whole estate. Sum total of Non-residential scope 3 carbon emissions from waste and Residential scope 3 carbon emissions from waste.",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential method used to calculate scope 3 carbon emissions from waste,Which approach has been used to calculate the data returned in Non-residential scope 3 carbon emissions from waste?,"This field contains data about the method used to calculate non-residential scope 3 carbon emissions from waste. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ","Indicate which approach has been used to calculate the data returned in Non-residential scope 3 carbon emissions from waste.
• 'Basic approach' should be used where waste data is very limited for both residential and non-residential properties,
• 'Medium approach': should be used where waste data and recycling data is available for non-residential and/or residential buildings,
• 'Detailed approach': should be used where good quality waste in-house data is available.",University Metrics,"Category (Basic, Medium, Detailed)",Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential method used to calculate scope 3 carbon emissions from waste,Which approach has been used to calculate the data returned in Residential scope 3 carbon emissions from waste?,"This field contains data about the method used to calculate scope 3 carbon emissions from waste for the residential estate. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Indicate which approach has been used to calculate the data returned in Residential scope 3 carbon emissions from waste.
• 'Basic approach' should be used where waste data is very limited for both residential and non-residential properties,
• 'Medium approach': should be used where waste data and recycling data is available for non-residential and/or residential buildings,
• 'Detailed approach': should be used where good quality waste in-house data is available.",University Metrics,"Category (Basic, Medium, Detailed)",Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total method used to calculate scope 3 carbon emissions from waste,Which approach has been used to calculate the data returned in Total scope 3 carbon emissions from waste?,"This field contains data about the method used to calculate scope 3 carbon emissions from waste for the total estate. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Indicate which approach has been used to calculate the data returned in Total scope 3 carbon emissions from waste.
• 'Basic approach' should be used where waste data is very limited for both residential and non-residential properties,
• 'Medium approach': should be used where waste data and recycling data is available for non-residential and/or residential buildings,
• 'Detailed approach': should be used where good quality waste in-house data is available.",University Metrics,"Category (Basic, Medium, Detailed)",Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential scope 3 carbon emissions from water supply (tonnes CO2e),What is the total scope 3 carbon emissions from water supply for the non-residential estate?,"This field contains data about the scope 3 carbon emissions from water supply for the non-residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: part of the move to mandatory reporting of scope 3 carbon emissions. ","This conversion will be undertaken by HESA.

This figure is for the scope 3 greenhouse gas emissions (tonnes) from the supply for water of the non-residential estate only.

The Defra conversion factors and guidance provide the conversion factor that will be used for Non-residential water consumption as well as supplemental information.","University Metrics, SDG6: Clean Water and Sanitation (universities), SDG12: Responsible Consumption and Production (universities)",Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential scope 3 carbon emissions from water supply (tonnes CO2e),What is the total scope 3 carbon emissions from water supply for the residential estate?,"This field contains data about the scope 3 carbon emissions from water supply for the residential estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: part of the move to mandatory reporting of scope 3 carbon emissions.  ","This conversion will be undertaken by HESA.

This figure is for the scope 3 greenhouse gas emissions (tonnes) from the supply of water for the residential estate only.

The Defra conversion factors and guidance provide the conversion factor that will be used for Residential water consumption as well as supplemental information.","University Metrics, SDG6: Clean Water and Sanitation (universities), SDG12: Responsible Consumption and Production (universities)",Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total scope 3 carbon emissions from water supply (tonnes CO2e),What is the total scope 3 carbon emissions of from water supply for the total estate?,"This field contains data about the scope 3 carbon emissions of from water supply for the total estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: part of the move to mandatory reporting of scope 3 carbon emissions.  ","Total energy consumption for the whole estate. Sum total of Non-residential scope 3 carbon emissions from water supply and Residential scope 3 carbon emissions from water supply.","University Metrics, SDG6: Clean Water and Sanitation (universities), SDG12: Responsible Consumption and Production (universities)",Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e),What is the total scope 3 carbon emissions from wastewater treatment for the total estate?,"This field contains data about scope 3 carbon emissions from wastewater treatment for the total estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: part of the move to mandatory reporting of scope 3 carbon emissions.","This conversion will be undertaken by HESA.

Total scope 3 greenhouse gas emissions (tonnes) from the treatment of wastewater for the whole estate (kWh).

The Defra conversion factors and guidance provide the conversion factor that will be used for the sum total of Total volume of wastewater, Total water supply grey water and rain water, and Total water borehole extraction as well as supplemental information.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for the fields Total volume of wastewater, Total water supply grey water and rain water and Total water borehole extraction to ensure that this mandatory field is calculated correctly.","University Metrics, SDG6: Clean Water and Sanitation (universities), SDG12: Responsible Consumption and Production (universities)",Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain business services (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain business services?,"This field contains data about the scope 3 carbon emissions from the supply chain business services. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Total scope 3 greenhouse gas emissions (tonnes) from the supply chain business services.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain paper products (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain paper products?,"This field contains data about the scope 3 carbon emissions from the supply chain paper products. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Total scope 3 greenhouse gas emissions (tonnes) from the supply chain paper products.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain other manufactured products (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain other manufactured products?,"This field contains data about the scope 3 carbon emissions from the supply chain other manufactured products. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Total scope 3 greenhouse gas emissions (tonnes) from the supply chain other manufactured products.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),"Scope 3 carbon emissions from supply chain manufactured fuels, chemicals, and gases (tonnes CO2e)","What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain manufactured fuels, chemicals, and gases?","This field contains data about the scope 3 carbon emissions from the supply chain manufactured fuels, chemicals, and gases. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Total scope 3 greenhouse gas emissions (tonnes) from the supply chain manufactured fuels, chemicals, and gases.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain food and catering (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain food and catering?,"This field contains data about the scope 3 carbon emissions from the supply chain food and catering. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Total scope 3 greenhouse gas emissions (tonnes) from the supply chain food and catering.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain construction (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain construction?,"This field contains data about the scope 3 carbon emissions from the supply chain construction. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Total scope 3 greenhouse gas emissions (tonnes) from the supply chain construction.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain information and communication technologies (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain information and communication technologies?,"This field contains data about the scope 3 carbon emissions from the supply chain information and communication technologies. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Total scope 3 greenhouse gas emissions (tonnes) from the supply chain information and communication technologies.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain waste and water (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from supply chain waste and water?,"This field contains data about the scope 3 carbon emissions from the supply chain waste and water. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Total scope 3 greenhouse gas emissions (tonnes) from supply chain waste and water.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain medical and precision instruments (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from supply chain medical and precision instruments?,"This field contains data about the scope 3 carbon emissions from the supply chain medical and precision instruments. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Total scope 3 greenhouse gas emissions (tonnes) from supply chain medical and precision instruments.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain other procurement (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain other procurement?,"This field contains data about the scope 3 carbon emissions from the supply chain other procurement. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.","Total scope 3 greenhouse gas emissions (tonnes) from the supply chain other procurement. The Defra conversion factors and guidance provide the conversion factors as well as supplemental information.
",University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Scope 3 carbon emissions from supply chain unclassified (tonnes CO2e),What is the total scope 3 greenhouse gas emissions (in tonnes) from the supply chain of unclassified items?,"This field contains data about the scope 3 carbon emissions from the supply chain of unclassified items. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Total scope 3 greenhouse gas emissions (tonnes) from the supply chain of unclassified items.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total carbon reduction target (%),What is the total carbon reduction target?,"This field contains data about the carbon reduction target. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for monitoring progress towards sector carbon targets.","Carbon reduction target for scope 1 and 2 emissions to 2020 against a 2005 baseline for the whole estate.","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total scope 1 and 2 emission baseline for 2005 (tonnes CO2e),What is the scope 1 and 2 emission baseline in total greenhouse gas emissions (tonnes) for 2005? ,"This field contains data about the scope 1 and 2 emission baseline for 2005. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland.  ",Scope 1 and 2 emission baseline for 2005 for the whole estate.,University Metrics,Number (tonnes CO2e),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total number of car parking spaces,What is the total number of car parking spaces for the whole estate?,"This field contains data about the number of car parking spaces for the whole estate. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ","Total number of car parking spaces for the whole estate. Sum total of Non-residential number of car parking spaces and Residential number of car parking spaces.",University Metrics,Number (quanity),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Non-residential number of car parking spaces,What is the total number of car parking spaces for the non-residential estate?,"This field describes the number of car parking spaces for the non-residential estate. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ",Number of car parking spaces for the non-residential estate.,University Metrics,Number (quanity),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Residential number of car parking spaces,What is the total number of car parking spaces for the residential estate?,"This field contains data about the number of car parking spaces for the residential estate. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ",Number of car parking spaces for the residential estate.,University Metrics,Number (quanity),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total percentage of renewable energy purchased through green tariffs (%),What is the percentage of renewable energy purchased via green tariffs for the whole estate?,"This field contains data about the percentage of renewable energy purchased via green tariffs for the whole estate. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.   ",Percentage of renewable energy purchased through green tariffs (Climate Change Levy exempt) for the whole estate.,"University Metrics, SDG7: Affordable and Clean Energy (universities)",Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total energy generated onsite by CHP (kWh),What is the total annual energy (kWh equivalent) generated onsite from combined heat and power (CHP)?,"This field contains data about the energy generated onsite from combined heat and power (CHP). The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ",Total annual energy (kWh equivalent) generated onsite from combined heat and power (CHP).,University Metrics,Number (kWh),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total renewable energy generated onsite or offsite (kWh),What is the total annual energy (kWh equivalent) generated through renewable energy sources for the whole estate?,"This field describes the renewable energy generated on or offsite either by the HEP independently or in partnership with others. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.    ","Total annual energy (kWh equivalent) generated through renewable energy sources for the whole estate.
","University Metrics, SDG7: Affordable and Clean Energy (universities)",Number (kWh),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Use of renewable energy generated onsite or offsite where the ROCs are retained or not claimed (%),What percentage contribution where ROCs are retained or not claimed by an HEP for the whole estate? ,"This field contains data about the energy generated through renewable energy sources where Renewables Obligation Certificates (ROCs) are retained or not claimed by an HEP. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Percentage contribution where ROCs are retained or not claimed by an HEP for the whole estate.,University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Use of renewable energy generated onsite or offsite where the ROCs are sold (%),What percentage contribution where the ROCS are sold by an HEP for the whole estate?,"This field contains data about the energy generated through renewable energy sources where the Renewables Obligation Certificates (ROCs) are sold by an HEP. The value can be recorded to one decimal place and must be between 0 and 100. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: sector use and benchmarking.",Percentage contribution where the ROCS are sold by an HEP for the whole estate.,University Metrics,Number (%),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total waste mass (tonnes),What is the total waste mass for the whole estate?,"This field contains data about the total waste mass for the whole estate. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for use in producing Capital Investment Framework (CIF) metrics and as part of the move to mandatory reporting of scope 3 carbon emissions.
","Total waste mass for the whole estate. Sum total of Non-residential waste mass total, Residential waste mass total, and Other works waste mass total.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for the fields Non-residential waste mass total, Residential waste mass total and Other works waste mass total to ensure that this mandatory field is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total waste mass recycled (tonnes),What is the total waste mass (tonnes) for the whole estate that is sent for recycling?,"This field contains data about the total waste mass for the whole estate that is sent for recycling. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for use in producing Capital Investment Framework (CIF) metrics and as part of the move to mandatory reporting of scope 3 carbon emissions.","Total waste mass (tonnes) for the whole estate that is sent for recycling. Sum total Non-residential waste mass recycled, Residential waste mass recycled, and Other works waste mass recycled.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for the fields Non-residential waste mass recycled, Residential waste mass recycled and Other works waste mass recycled to ensure that this mandatory field is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
Not Mandatory,Higher Education Statistics Agency (HESA),Total waste mass incineration (tonnes),What is the total waste mass (tonnes) for the whole estate that is incinerated?,"This field contains data about the total waste mass for the whole estate that is incinerated. The value can be recorded to three decimal places. This is applicable to higher education providers (HEP) in Scotland, England, Wales and Northern Ireland. 

Reason required: for use in producing Capital Investment Framework (CIF) metrics and as part of the move to mandatory reporting of scope 3 carbon emissions. ","Total waste mass (tonnes) for the whole estate that is incinerated. Sum total Non-residential waste mass incineration, Residential waste mass incineration, and Other works waste mass incineration.

Please note that HEPs in England, Northern Ireland or Wales will need to return a value for the fields Non-residential waste mass incineration, Residential waste mass incineration and Other works waste mass incineration to ensure that this mandatory field is calculated correctly.
","University Metrics, SDG12: Responsible Consumption and Production (universities)",Number (tonnes),Community,Researched,Corporate Social Responsibility Report
